event_title,email,source_url
"La toile du mois pour le climat",durable@prilly.ch,https://www.tempslibre.ch/vaud/spectacles/432878-la-toile-du-mois-pour-le-climat
""Contemplations", par Pierre-Abraham Rochat",info@cret-berard.ch,https://www.tempslibre.ch/vaud/expositions/447974-contemplations-par-pierre-abraham-rochat
"Love Mantra Charabia - Hélène du Trémolet",misshdutrem@icloud.com,https://www.tempslibre.ch/vaud/expositions/448434-love-mantra-charabia-h-l-ne-du-tr-molet
"Exposition temporaire "Top Secret"",chateau-morges@vd.ch,https://www.vaud.ch/tourisme/tous-les-evenements/exposition-temporaire-top-secret
"Exposition temporaire "Top Secret"",info@morges-tourisme.ch,https://www.vaud.ch/tourisme/tous-les-evenements/exposition-temporaire-top-secret
"Exposition temporaire "Top Secret"",info@vaud-promotion.ch,https://www.vaud.ch/tourisme/tous-les-evenements/exposition-temporaire-top-secret
"Les After Work du Grand Chalet",info@aigle-tourisme.ch,https://www.vaud.ch/tourisme/tous-les-evenements/les-after-work-du-grand-chalet
"Les After Work du Grand Chalet",info@vaud-promotion.ch,https://www.vaud.ch/tourisme/tous-les-evenements/les-after-work-du-grand-chalet
"Les After Work du Grand Chalet",hotel@grand-chalet.ch,https://www.vaud.ch/tourisme/tous-les-evenements/les-after-work-du-grand-chalet
"Les After Work du Grand Chalet",info@lesmosses.ch,https://www.vaud.ch/tourisme/tous-les-evenements/les-after-work-du-grand-chalet
"Les After Work du Grand Chalet",info@leysin-tourisme.ch,https://www.vaud.ch/tourisme/tous-les-evenements/les-after-work-du-grand-chalet
"Bonvillars & Truffe : Cours de cavage et cuisine à la Sauvageraie",info@sauvageraie.ch,https://www.vaud.ch/tourisme/tous-les-evenements/bonvillars-truffe-cours-de-cavage-et-cuisine-a-la-sauvageraie
"Bonvillars & Truffe : Cours de cavage et cuisine à la Sauvageraie",tourisme@adnv.ch,https://www.vaud.ch/tourisme/tous-les-evenements/bonvillars-truffe-cours-de-cavage-et-cuisine-a-la-sauvageraie
"Bonvillars & Truffe : Cours de cavage et cuisine à la Sauvageraie",info@truffesuisse.ch,https://www.vaud.ch/tourisme/tous-les-evenements/bonvillars-truffe-cours-de-cavage-et-cuisine-a-la-sauvageraie
"Bonvillars & Truffe : Cours de cavage et cuisine à la Sauvageraie",info@vaud-promotion.ch,https://www.vaud.ch/tourisme/tous-les-evenements/bonvillars-truffe-cours-de-cavage-et-cuisine-a-la-sauvageraie
"Soirée fondue et luge - Cabane des Monts Chevreuils",info@vaud-promotion.ch,https://www.vaud.ch/tourisme/tous-les-evenements/soiree-fondue-et-luge-cabane-des-monts-chevreuils
"Soirée fondue et luge - Cabane des Monts Chevreuils",info@pays-denhaut.ch,https://www.vaud.ch/tourisme/tous-les-evenements/soiree-fondue-et-luge-cabane-des-monts-chevreuils
"Soirée fondue et luge - Cabane des Monts Chevreuils",montschevreuils1698@gmail.com,https://www.vaud.ch/tourisme/tous-les-evenements/soiree-fondue-et-luge-cabane-des-monts-chevreuils
"Chalets de Noël",info@myvalleedejoux.ch,https://www.vaud.ch/tourisme/tous-les-evenements/chalets-de-noel
"Chalets de Noël",info@vaud-promotion.ch,https://www.vaud.ch/tourisme/tous-les-evenements/chalets-de-noel
